"","","","Home | College of Applied Health Sciences","https://ahs.illinois.edu/","ahs","","home"
"","","","Kinesiology | College of Applied Health Sciences","https://ahs.illinois.edu/kinesiology","ahs","","kines"
"","","","Community Health | College of Applied Health Sciences","https://ahs.illinois.edu/community-health","ahs","","commhlth"
"","","","Speech &amp; Hearing Science | College of Applied Health Sciences","https://ahs.illinois.edu/speech-%26-hearing-science","ahs","","sphs"
"","","","Recreation, Sport &amp; Tourism | College of Applied Health Sciences","https://ahs.illinois.edu/recreation-sport-%26-tourism","ahs","","rst"
"","","","LAS | College of Liberal Arts &amp; Sciences at Illinois","https://las.illinois.edu/","las","","home"
"","","","School of Chemical Sciences at Illinois","https://scs.illinois.edu/","las","","scs"
"","","","English at Illinois","https://english.illinois.edu/","las","","english"
"","","","Anthropology at Illinois","https://anthro.illinois.edu/","las","","anthro"
"","","","Asian American Studies at Illinois","https://asianam.illinois.edu/","las","","asianam"
"","","","Astronomy at Illinois","https://astro.illinois.edu/","las","","astro"
"","","","Atmospheric Sciences at Illinois","https://atmos.illinois.edu/","las","","atmos"
"","","","Welcome | Department of Cell and Developmental Biology | The School of Molecular and Cellular Biology |University of Illinois Urbana-Champaign","http://mcb.illinois.edu/departments/cdb/","las","","cdb"
"","","","Chemistry at Illinois","https://chemistry.illinois.edu/","las","","chemistry"
"","","","French and Italian at Illinois","https://frit.illinois.edu/","las","","frit"
"","","","History at Illinois","https://history.illinois.edu/","las","","history"
"","","","Mathematics at Illinois","https://math.illinois.edu/","las","","math"
"","","","PEEC | School of Integrative Biology | University of Illinois at Urbana-Champaign","http://peec.illinois.edu/","las","","peec"
"","","","Philosophy at Illinois","https://philosophy.illinois.edu/","las","","phil"
"","","","Psychology at Illinois","https://psychology.illinois.edu/","las","","psych"
"","","","School of Integrative Biology | University of Illinois at Urbana-Champaign","http://sib.illinois.edu/","las","","sib"
"","","","Statistics at Illinois","https://stat.illinois.edu","las","","stat"
"","","","Grainger Engineering | Grainger College of Engineering | U of I","https://grainger.illinois.edu/","engr","","home"
"","","","Aerospace at Illinois","https://aerospace.illinois.edu/","engr","","aerospace"
"","","","Home | Bioengineering | U of I","https://bioengineering.illinois.edu/","engr","","bio"
"","","","Home | Electrical & Computer Engineering | U of I","https://ece.illinois.edu/","engr","","ece"
"","","","Home - Chemical and Biomolecular Engineering","https://chbe.illinois.edu/","engr","","chbe"
"","","","Home | Computer Science | U of I","https://cs.illinois.edu/","engr","","cs"
"","","","Civil and Environmental Engineering","https://cee.illinois.edu/","engr","","cee"
"","","","Home | Department of Industrial and Enterprise Systems Engineering | Illinois","https://ise.illinois.edu/","engr","","ise"
"","","","Mechanical Science and Engineering, University of Illinois Urbana-Champaign","https://mechse.illinois.edu/","engr","","mechse"
"","","","Home | College of Agricultural, Consumer and Environmental Sciences :: University of Illinois","https://aces.illinois.edu","aces","","home"
"","","","Home | Department of Agricultural and Biological Engineering :: College of ACES, University of Illinois","https://abe.illinois.edu/","aces","","abe"
"","","","Agricultural and Consumer Economics :: College of ACES, University of Illinois","https://ace.illinois.edu/","aces","","ace"
"","","","Department of Animal Sciences :: College of ACES, University of Illinois","https://ansc.illinois.edu","aces","","ansc"
"","","","Crop Sciences | University of Illinois at Urbana-Champaign","https://cropsciences.illinois.edu/","aces","","cropsci"
"","","","Department of Human Development and Family Studies :: College of ACES, University of Illinois","https://hdfs.illinois.edu","aces","","hdfs"
"","","","Natural Resources and Environmental Sciences :: College of ACES, University of Illinois","https://nres.illinois.edu","aces","","nres"
"","","","Home | College of Fine + Applied Arts","https://faa.illinois.edu/","faa","","home"
"","","","The Illinois School of Architecture","https://arch.illinois.edu/","faa","","arch"
"","","","Art + Design - Home","https://art.illinois.edu/","faa","","art"
"","","","Dance at Illinois | University of Illinois at Urbana-Champaign","https://dance.illinois.edu/","faa","","dance"
"","","","Landscape Architecture at Illinois","https://landarch.illinois.edu/","faa","","landarch"
"","","","Music at Illinois","https://music.illinois.edu/","faa","","music"
"","","","Illinois Theatre","https://theatre.illinois.edu/","faa","","theatre"
"","","","School of Information Sciences | The iSchool at Illinois | ischool.illinois.edu","https://ischool.illinois.edu/","ischool","","home"
"","","","University of Illinois College of Law","https://law.illinois.edu/","law","","home"
"","","","School of Social Work, University of Illinois -","https://socialwork.illinois.edu","social","","home"
"","","","Disability Resources &amp; Educational Services - University of Illinois","https://disability.illinois.edu","support","","disability"
"","","","University Housing at the University of Illinois","https://housing.illinois.edu/","support","","housing"
"","","","Welcome to Technology Services | Technology Services at Illinois","https://techservices.illinois.edu/","support","","tech"
"","","","Krannert Center for the Performing Arts | University of Illinois at Urbana-Champaign","https://krannertcenter.com/","support","","krannert"
"","","","Krannert Art Museum | Krannert Art Museum","https://kam.illinois.edu/","support","","kam"
"","","","McKinley Health Center | University of Illinois at Urbana-Champaign","https://mckinley.illinois.edu/","support","","medical"
"","","","University of Illinois Counseling Center","https://www.counselingcenter.illinois.edu/","support","","counseling"
"","","","The Career Center at Illinois","https://www.careercenter.illinois.edu","support","","career"
"","","","University of Illinois Undergraduate Admissions","https://admissions.illinois.edu/","support","","admissions"
"","","","University of Illinois at Urbana-Champaign &lt; University of Illinois","http://catalog.illinois.edu","support","","catalog"
"","","","University of Illinois Facilities and Services","https://fs.illinois.edu/","support","","fs"
"","","","Home | University of Illinois Urbana-Champaign","https://illinois.edu","admin","","home"
"","","","Office of the Chancellor | University of Illinois at Urbana-Champaign","https://chancellor.illinois.edu/","admin","","chancellor"
"","","","Office of the Provost","https://provost.illinois.edu/","admin","","provost"
